,index,x,y,z,name
0,1,202,340,21.0, ABaraa
1,2,167,310,20.0, ABarap
2,3,122,279,12.0, ABarpp
3,4,158,336,12.0, ABarpa
4,5,254,373,18.0, ABalaa
5,6,230,361,10.0, ABalap
6,7,250,289,9.0, ABalpp
7,8,267,330,15.0, ABalpa
10,11,150,224,21.0, ABprpa
11,12,116,197,18.0, ABprpp
12,13,95,243,18.0, ABprap
13,14,133,292,20.0, ABpraa
14,15,235,248,11.0, ABplpa
15,16,194,213,9.0, ABplpp
16,17,195,254,18.0, MSp
17,18,239,287,18.0, MSa
18,19,183,280,9.0, ABplap
19,20,212,329,10.0, ABplaa
20,21,108,171,10.0, D
21,22,152,157,10.0, P4
22,23,106,219,11.0, Cp
23,24,151,249,10.0, Ca
24,25,165,186,12.0, Ep
25,26,201,205,17.0, Ea
