,index,x,y,z,name
0,1,242,381,10.0, ABprpa
1,2,247,431,12.0, ABprpp
2,3,171,364,12.0, ABpraa
3,4,195,415,15.0, ABprap
4,5,285,350,23.0, ABplpp
5,6,285,299,21.0, ABplpa
7,8,177,315,11.0, ABarap
8,9,187,270,10.0, ABaraa
9,10,164,303,20.0, ABarpa
10,11,184,369,22.0, ABarpp
11,12,198,219,14.0, ABalaa
12,13,174,251,19.0, ABalap
13,14,253,267,24.0, ABalpp
14,15,247,231,16.0, ABalpa
15,16,223,375,22.0, Ca
16,17,226,431,21.0, Cp
17,18,256,460,18.0, D
18,19,299,430,14.0, P4
19,20,251,281,13.0, MSa
20,21,235,336,12.0, MSp
21,22,292,352,16.0, Ea
22,23,286,402,18.0, Ep
24,25,197,278,23.0, ABplaa
25,26,217,322,24.0, ABplap
